metric,value
Cycle,8388608
Energy,4.05633e+22
MainMemory::Write::H, 0
MainMemory::Read::H, 12800
MainMemory::Write::G, 0
MainMemory::Update::H, 0
MainMemory::Fill::G, 0
MainMemory::Update::G, 0
MainMemory::Fill::I, 0
MainMemory::Fill::E, 0
MainMemory::Update::E, 0
MainMemory::Update, 1.31072e+06
MainMemory::Update::D, 0
MainMemory::Read::I, 262144
MainMemory::Read, 1.09491e+07
MainMemory::Fill::F, 0
MainMemory::Write::E, 0
MainMemory::Update::C, 524288
MainMemory::Read::E, 4.096e+06
MainMemory::Update::B, 0
MainMemory::Read::C, 524288
MainMemory::Fill::D, 0
MainMemory::CapUtil, 1.78242e-05
MainMemory::Write, 1.31072e+06
MainMemory::SpatialUtil, 1
MainMemory::Write::C, 524288
MainMemory::SlowDown, 1
MainMemory::Accesses, 1.22598e+07
MainMemory::Energy, 2.45197e+09
MainMemory::Update::I, 262144
MainMemory::Write::B, 0
MainMemory::Write::D, 0
MainMemory::Read::G, 204800
MainMemory::Read::A, 409600
MainMemory::Update::A, 0
MainMemory::Fill, 0
MainMemory::Read::D, 4.096e+06
MainMemory::Fill::A, 0
MainMemory::Write::I, 262144
MainMemory::Fill::C, 0
MainMemory::Write::A, 0
MainMemory::Read::B, 819200
MainMemory::Fill::H, 0
MainMemory::Fill::B, 0
MainMemory::Read::F, 524288
MainMemory::Update::F, 524288
MainMemory::Write::F, 524288
GlobalBuffer::Write::H, 12800
GlobalBuffer::Read::H, 1.6384e+09
GlobalBuffer::Write::G, 204800
GlobalBuffer::Update::H, 0
GlobalBuffer::Fill::G, 204800
GlobalBuffer::Update::G, 0
GlobalBuffer::Fill::I, 262144
GlobalBuffer::Fill::E, 4.096e+06
GlobalBuffer::Update::E, 0
GlobalBuffer::Update, 3.14573e+09
GlobalBuffer::Update::D, 0
GlobalBuffer::Read::I, 2.09715e+09
GlobalBuffer::Read, 5.12819e+09
GlobalBuffer::Fill::F, 524288
GlobalBuffer::Write::E, 4.096e+06
GlobalBuffer::Update::C, 5.24288e+08
GlobalBuffer::Read::E, 1.31072e+08
GlobalBuffer::Update::B, 0
GlobalBuffer::Read::C, 5.24288e+08
GlobalBuffer::Fill::D, 4.096e+06
GlobalBuffer::CapUtil, 0.000296021
GlobalBuffer::Write, 3.15668e+09
GlobalBuffer::SpatialUtil, 1
GlobalBuffer::Write::C, 5.24812e+08
GlobalBuffer::SlowDown, 1
GlobalBuffer::Accesses, 8.28487e+09
GlobalBuffer::Energy, 6.82115e+14
GlobalBuffer::Update::I, 2.09715e+09
GlobalBuffer::Write::B, 819200
GlobalBuffer::Write::D, 4.096e+06
GlobalBuffer::Read::G, 5.12e+07
GlobalBuffer::Read::A, 1.024e+07
GlobalBuffer::Update::A, 0
GlobalBuffer::Fill, 1.09491e+07
GlobalBuffer::Read::D, 1.31072e+08
GlobalBuffer::Fill::A, 409600
GlobalBuffer::Write::I, 2.09741e+09
GlobalBuffer::Fill::C, 524288
GlobalBuffer::Write::A, 409600
GlobalBuffer::Read::B, 2.048e+07
GlobalBuffer::Fill::H, 12800
GlobalBuffer::Fill::B, 819200
GlobalBuffer::Read::F, 5.24288e+08
GlobalBuffer::Update::F, 5.24288e+08
GlobalBuffer::Write::F, 5.24812e+08
RegFile::Write::H, 5.12e+07
RegFile::Read::H, 3.68935e+19
RegFile::Write::G, 1.6e+06
RegFile::Update::H, 0
RegFile::Fill::G, 1.6e+06
RegFile::Update::G, 0
RegFile::Fill::I, 8.192e+06
RegFile::Fill::E, 4.096e+06
RegFile::Update::E, 0
RegFile::Update, 5.53402e+19
RegFile::Update::D, 0
RegFile::Read::I, 3.68935e+19
RegFile::Read, 1.66021e+20
RegFile::Fill::F, 2.048e+06
RegFile::Write::E, 4.096e+06
RegFile::Update::C, 1.84467e+19
RegFile::Read::E, 1.31072e+08
RegFile::Update::B, 0
RegFile::Read::C, 1.84467e+19
RegFile::Fill::D, 4.096e+06
RegFile::CapUtil, 0.026875
RegFile::Write, 5.53402e+19
RegFile::SpatialUtil, 0.25
RegFile::Write::C, 1.84467e+19
RegFile::SlowDown, 1
RegFile::Accesses, 9.2248e+11
RegFile::Energy, 4.05079e+22
RegFile::Update::I, 3.68935e+19
RegFile::Write::B, 640000
RegFile::Write::D, 4.096e+06
RegFile::Read::G, 3.68935e+19
RegFile::Read::A, 1.84467e+19
RegFile::Update::A, 0
RegFile::Fill, 7.424e+07
RegFile::Read::D, 1.31072e+08
RegFile::Fill::A, 320000
RegFile::Write::I, 3.68935e+19
RegFile::Fill::C, 2.048e+06
RegFile::Write::A, 320000
RegFile::Read::B, 1.84467e+19
RegFile::Fill::H, 5.12e+07
RegFile::Fill::B, 640000
RegFile::Read::F, 1.31072e+08
RegFile::Update::F, 1.31072e+08
RegFile::Write::F, 1.3312e+08
mac::Energy, 5.53402e+19
mac::Flops, 5.53402e+19
MEM::RegFile,0.0866667
MEM::RegFile,0.005
MEM::RegFile,0.1075
MEM::GlobalBuffer,0.000296021
MEM::MainMemory,1.78242e-05
SPATIAL::GlobalBuffer,0.75
