metric,value
Cycle,8808476
Energy,2.94974e+14
MainMemory::Write::H, 0
MainMemory::Read::H, 1.6384e+06
MainMemory::Write::G, 0
MainMemory::Update::H, 0
MainMemory::Fill::G, 0
MainMemory::Update::G, 0
MainMemory::Fill::I, 0
MainMemory::Fill::E, 0
MainMemory::Update::E, 0
MainMemory::Update, 6.81574e+06
MainMemory::Update::D, 0
MainMemory::Read::I, 2.09715e+06
MainMemory::Read, 1.18253e+08
MainMemory::Fill::F, 0
MainMemory::Write::E, 0
MainMemory::Update::C, 524288
MainMemory::Read::E, 25600
MainMemory::Update::B, 0
MainMemory::Read::C, 524288
MainMemory::Fill::D, 0
MainMemory::CapUtil, 1.78242e-05
MainMemory::Write, 6.81574e+06
MainMemory::SpatialUtil, 1
MainMemory::Write::C, 524288
MainMemory::SlowDown, 1
MainMemory::Accesses, 1.25068e+08
MainMemory::Energy, 2.50137e+10
MainMemory::Update::I, 2.09715e+06
MainMemory::Write::B, 0
MainMemory::Write::D, 0
MainMemory::Read::G, 5.24288e+07
MainMemory::Read::A, 5.24288e+07
MainMemory::Update::A, 0
MainMemory::Fill, 0
MainMemory::Read::D, 1.6384e+06
MainMemory::Fill::A, 0
MainMemory::Write::I, 2.09715e+06
MainMemory::Fill::C, 0
MainMemory::Write::A, 0
MainMemory::Read::B, 3.2768e+06
MainMemory::Fill::H, 0
MainMemory::Fill::B, 0
MainMemory::Read::F, 4.1943e+06
MainMemory::Update::F, 4.1943e+06
MainMemory::Write::F, 4.1943e+06
GlobalBuffer::Write::H, 1.6384e+06
GlobalBuffer::Read::H, 5.24288e+07
GlobalBuffer::Write::G, 5.24288e+07
GlobalBuffer::Update::H, 0
GlobalBuffer::Fill::G, 5.24288e+07
GlobalBuffer::Update::G, 0
GlobalBuffer::Fill::I, 2.09715e+06
GlobalBuffer::Fill::E, 25600
GlobalBuffer::Update::E, 0
GlobalBuffer::Update, 6.12368e+08
GlobalBuffer::Update::D, 0
GlobalBuffer::Read::I, 8.38861e+06
GlobalBuffer::Read, 2.7685e+09
GlobalBuffer::Fill::F, 4.1943e+06
GlobalBuffer::Write::E, 25600
GlobalBuffer::Update::C, 6.71089e+07
GlobalBuffer::Read::E, 1.04858e+08
GlobalBuffer::Update::B, 0
GlobalBuffer::Read::C, 6.71089e+07
GlobalBuffer::Fill::D, 1.6384e+06
GlobalBuffer::CapUtil, 0.000209293
GlobalBuffer::Write, 7.30621e+08
GlobalBuffer::SpatialUtil, 1
GlobalBuffer::Write::C, 6.76332e+07
GlobalBuffer::SlowDown, 1.1001
GlobalBuffer::Accesses, 3.49912e+09
GlobalBuffer::Energy, 2.88092e+14
GlobalBuffer::Update::I, 8.38861e+06
GlobalBuffer::Write::B, 3.2768e+06
GlobalBuffer::Write::D, 1.6384e+06
GlobalBuffer::Read::G, 1.67772e+09
GlobalBuffer::Read::A, 1.04858e+08
GlobalBuffer::Update::A, 0
GlobalBuffer::Fill, 1.18253e+08
GlobalBuffer::Read::D, 2.09715e+08
GlobalBuffer::Fill::A, 5.24288e+07
GlobalBuffer::Write::I, 1.04858e+07
GlobalBuffer::Fill::C, 524288
GlobalBuffer::Write::A, 5.24288e+07
GlobalBuffer::Read::B, 6.5536e+06
GlobalBuffer::Fill::H, 1.6384e+06
GlobalBuffer::Fill::B, 3.2768e+06
GlobalBuffer::Read::F, 5.36871e+08
GlobalBuffer::Update::F, 5.36871e+08
GlobalBuffer::Write::F, 5.41065e+08
RegFile::Write::H, 1.6384e+06
RegFile::Read::H, 2.09715e+08
RegFile::Write::G, 5.24288e+07
RegFile::Update::H, 0
RegFile::Fill::G, 5.24288e+07
RegFile::Update::G, 0
RegFile::Fill::I, 32768
RegFile::Fill::E, 3.2768e+06
RegFile::Update::E, 0
RegFile::Update, 8.59832e+09
RegFile::Update::D, 0
RegFile::Read::I, 2.09715e+08
RegFile::Read, 2.5795e+10
RegFile::Fill::F, 2.09715e+06
RegFile::Write::E, 3.2768e+06
RegFile::Update::C, 4.1943e+09
RegFile::Read::E, 4.1943e+09
RegFile::Update::B, 0
RegFile::Read::C, 4.1943e+09
RegFile::Fill::D, 6.5536e+06
RegFile::CapUtil, 0.0451042
RegFile::Write, 8.66809e+09
RegFile::SpatialUtil, 0.25
RegFile::Write::C, 4.19457e+09
RegFile::SlowDown, 1
RegFile::Accesses, 2.20564e+12
RegFile::Energy, 6.30658e+12
RegFile::Update::I, 2.09715e+08
RegFile::Write::B, 204800
RegFile::Write::D, 6.5536e+06
RegFile::Read::G, 2.09715e+08
RegFile::Read::A, 4.1943e+09
RegFile::Update::A, 0
RegFile::Fill, 6.97713e+07
RegFile::Read::D, 4.1943e+09
RegFile::Fill::A, 3.2768e+06
RegFile::Write::I, 2.09748e+08
RegFile::Fill::C, 262144
RegFile::Write::A, 3.2768e+06
RegFile::Read::B, 4.1943e+09
RegFile::Fill::H, 1.6384e+06
RegFile::Fill::B, 204800
RegFile::Read::F, 4.1943e+09
RegFile::Update::F, 4.1943e+09
RegFile::Write::F, 4.1964e+09
mac::Energy, 5.50293e+11
mac::Flops, 5.50293e+11
MEM::RegFile,0.100417
MEM::RegFile,0.180417
MEM::RegFile,0.0188542
MEM::GlobalBuffer,6.9828e-05
MEM::GlobalBuffer,0.000209293
MEM::MainMemory,1.78242e-05
SPATIAL::GlobalBuffer,0.25
