index,time,iter,reward,value,best_reward,best_value,node
0,26,0,-5.42943,268800,-5.42943,268800,X20:8-
1,56,1,-5.42943,268800,-5.42943,268800,X10:2-X20:8-
2,78,2,-5.42943,268800,-5.42943,268800,X10:16-X20:8-
3,109,3,-5.42943,268800,-5.42943,268800,X20:1-
4,135,4,-5.42943,268800,-5.42943,268800,X10:4-X20:8-
5,158,5,-5.42943,268800,-5.42943,268800,X20:2-
6,183,6,-5.42943,268800,-5.42943,268800,X20:4-
7,207,7,-5.42943,268800,-5.42943,268800,X23:8-X20:1-
8,233,8,-5.42943,268800,-5.42943,268800,X23:2-X20:2-
9,260,9,-5.42943,268800,-5.42943,268800,X13:2-X10:4-X20:8-
10,293,10,-5.42943,268800,-5.42943,268800,X10:2-X23:2-X20:2-
11,316,11,-5.42943,268800,-5.42943,268800,X10:1-X20:8-
12,342,12,-5.42943,268800,-5.42943,268800,X23:2-X20:4-
13,370,13,-5.42943,268800,-5.42943,268800,X10:4-X23:2-X20:2-
14,393,14,-5.42943,268800,-5.42943,268800,X13:8-X10:1-X20:8-
15,410,15,-5.42943,268800,-5.42943,268800,X13:1-X10:1-X20:8-
16,434,16,-5.42943,268800,-5.42943,268800,X10:8-X20:8-
17,460,17,-5.42943,268800,-5.42943,268800,X13:2-X10:8-X20:8-
18,482,18,-5.42943,268800,-5.42943,268800,X23:1-X20:4-
19,511,19,-5.42943,268800,-5.42943,268800,X23:2-X20:1-
20,539,20,-5.42943,268800,-5.42943,268800,X10:4-X23:2-X20:1-
21,566,21,-5.42943,268800,-5.42943,268800,X13:4-X10:4-X23:2-X20:2-
22,587,22,-5.42943,268800,-5.42943,268800,X10:8-X23:8-X20:1-
