metric,value
Cycle,68812800
Energy,7.14929e+12
MainMemory::Write::H, 0
MainMemory::Read::H, 12800
MainMemory::Write::G, 0
MainMemory::Update::H, 0
MainMemory::Fill::G, 0
MainMemory::Update::G, 0
MainMemory::Fill::I, 0
MainMemory::Fill::E, 0
MainMemory::Update::E, 0
MainMemory::Update, 688128
MainMemory::Update::D, 0
MainMemory::Read::I, 32768
MainMemory::Read, 2.72993e+07
MainMemory::Fill::F, 0
MainMemory::Write::E, 0
MainMemory::Update::C, 524288
MainMemory::Read::E, 51200
MainMemory::Update::B, 0
MainMemory::Read::C, 524288
MainMemory::Fill::D, 0
MainMemory::CapUtil, 1.26266e-05
MainMemory::Write, 688128
MainMemory::SpatialUtil, 1
MainMemory::Write::C, 524288
MainMemory::SlowDown, 1
MainMemory::Accesses, 2.79875e+07
MainMemory::Energy, 5.59749e+09
MainMemory::Update::I, 32768
MainMemory::Write::B, 0
MainMemory::Write::D, 0
MainMemory::Read::G, 25600
MainMemory::Read::A, 204800
MainMemory::Update::A, 0
MainMemory::Fill, 0
MainMemory::Read::D, 102400
MainMemory::Fill::A, 0
MainMemory::Write::I, 32768
MainMemory::Fill::C, 0
MainMemory::Write::A, 0
MainMemory::Read::B, 2.62144e+07
MainMemory::Fill::H, 0
MainMemory::Fill::B, 0
MainMemory::Read::F, 131072
MainMemory::Update::F, 131072
MainMemory::Write::F, 131072
GlobalBuffer::Write::H, 12800
GlobalBuffer::Read::H, 204800
GlobalBuffer::Write::G, 25600
GlobalBuffer::Update::H, 0
GlobalBuffer::Fill::G, 25600
GlobalBuffer::Update::G, 0
GlobalBuffer::Fill::I, 32768
GlobalBuffer::Fill::E, 51200
GlobalBuffer::Update::E, 0
GlobalBuffer::Update, 1.60563e+06
GlobalBuffer::Update::D, 0
GlobalBuffer::Read::I, 32768
GlobalBuffer::Read, 5.78488e+07
GlobalBuffer::Fill::F, 131072
GlobalBuffer::Write::E, 51200
GlobalBuffer::Update::C, 1.04858e+06
GlobalBuffer::Read::E, 3.2768e+06
GlobalBuffer::Update::B, 0
GlobalBuffer::Read::C, 1.04858e+06
GlobalBuffer::Fill::D, 102400
GlobalBuffer::CapUtil, 5.05066e-05
GlobalBuffer::Write, 2.8905e+07
GlobalBuffer::SpatialUtil, 1
GlobalBuffer::Write::C, 1.57286e+06
GlobalBuffer::SlowDown, 1
GlobalBuffer::Accesses, 8.67538e+07
GlobalBuffer::Energy, 7.14267e+12
GlobalBuffer::Update::I, 32768
GlobalBuffer::Write::B, 2.62144e+07
GlobalBuffer::Write::D, 102400
GlobalBuffer::Read::G, 25600
GlobalBuffer::Read::A, 204800
GlobalBuffer::Update::A, 0
GlobalBuffer::Fill, 2.72993e+07
GlobalBuffer::Read::D, 102400
GlobalBuffer::Fill::A, 204800
GlobalBuffer::Write::I, 65536
GlobalBuffer::Fill::C, 524288
GlobalBuffer::Write::A, 204800
GlobalBuffer::Read::B, 5.24288e+07
GlobalBuffer::Fill::H, 12800
GlobalBuffer::Fill::B, 2.62144e+07
GlobalBuffer::Read::F, 524288
GlobalBuffer::Update::F, 524288
GlobalBuffer::Write::F, 655360
RegFile::Write::H, 204800
RegFile::Read::H, 3.2768e+06
RegFile::Write::G, 25600
RegFile::Update::H, 0
RegFile::Fill::G, 25600
RegFile::Update::G, 0
RegFile::Fill::I, 32768
RegFile::Fill::E, 3.2768e+06
RegFile::Update::E, 0
RegFile::Update, 6.88128e+07
RegFile::Update::D, 0
RegFile::Read::I, 3.2768e+06
RegFile::Read, 2.06438e+08
RegFile::Fill::F, 524288
RegFile::Write::E, 3.2768e+06
RegFile::Update::C, 5.24288e+07
RegFile::Read::E, 1.31072e+07
RegFile::Update::B, 0
RegFile::Read::C, 5.24288e+07
RegFile::Fill::D, 102400
RegFile::CapUtil, 0.00297526
RegFile::Write, 1.26662e+08
RegFile::SpatialUtil, 0.00390625
RegFile::Write::C, 5.34774e+07
RegFile::SlowDown, 1
RegFile::Accesses, 3.331e+08
RegFile::Energy, 9.52489e+08
RegFile::Update::I, 3.2768e+06
RegFile::Write::B, 5.24288e+07
RegFile::Write::D, 102400
RegFile::Read::G, 3.2768e+06
RegFile::Read::A, 5.24288e+07
RegFile::Update::A, 0
RegFile::Fill, 5.78488e+07
RegFile::Read::D, 1.31072e+07
RegFile::Fill::A, 204800
RegFile::Write::I, 3.30957e+06
RegFile::Fill::C, 1.04858e+06
RegFile::Write::A, 204800
RegFile::Read::B, 5.24288e+07
RegFile::Fill::H, 204800
RegFile::Fill::B, 5.24288e+07
RegFile::Read::F, 1.31072e+07
RegFile::Update::F, 1.31072e+07
RegFile::Write::F, 1.36315e+07
mac::Energy, 6.88128e+07
mac::Flops, 6.88128e+07
MEM::RegFile,0.0876042
MEM::GlobalBuffer,1.59883e-05
MEM::MainMemory,1.26266e-05
MEM::RegFile,0.0535417
MEM::GlobalBuffer,5.05066e-05
MEM::MainMemory,3.87192e-06
MEM::RegFile,0.761667
MEM::GlobalBuffer,1.96075e-05
MEM::MainMemory,1.32561e-06
SPATIAL::MainMemory,1
