index,time,iter,reward,value,best_reward,best_value,node
0,2,0,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:128-
1,6,1,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:4-
2,9,2,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:2-
3,13,3,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:16-
4,16,4,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:2-X24:2-
5,19,5,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:32-
6,23,6,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:2-X24:4-
7,26,7,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:1-
8,29,8,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:1-X24:16-
9,33,9,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:8-
10,36,10,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:4-X24:1-
11,39,11,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:1-X24:32-
12,42,12,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X24:128-
13,45,13,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:1-X24:32-
14,49,14,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:8-X24:8-
15,52,15,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X24:64-
16,55,16,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:2-X24:64-
17,58,17,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:2-X24:1-
18,61,18,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:1-X24:16-
19,65,19,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:8-X24:8-
20,68,20,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:2-X24:32-
21,71,21,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X24:128-
22,74,22,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:1-X24:32-
23,77,23,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X24:128-
24,80,24,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:32-X24:4-
25,83,25,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:1-X24:32-
26,87,26,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:32-X24:1-
27,90,27,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:2-X24:16-
28,94,28,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:2-X24:4-
