index,time,iter,reward,value,best_reward,best_value,node
0,2,0,-5.71957,524288,-5.71957,524288,X21:64-
1,5,1,-5.71957,524288,-5.71957,524288,X21:4-
2,7,2,-5.71957,524288,-5.71957,524288,X21:1-
3,10,3,-5.71957,524288,-5.71957,524288,X19:1-X21:64-
4,12,4,-5.71957,524288,-5.71957,524288,X21:8-
5,14,5,-5.71957,524288,-5.71957,524288,X21:32-
6,17,6,-5.71957,524288,-5.71957,524288,X21:16-
7,20,7,-5.71957,524288,-5.71957,524288,X19:2-X21:4-
8,22,8,-5.71957,524288,-5.71957,524288,X19:1-X21:16-
9,24,9,-5.71957,524288,-5.71957,524288,X19:8-X21:32-
10,27,10,-5.71957,524288,-5.71957,524288,X21:256-
11,29,11,-5.71957,524288,-5.71957,524288,X19:1-X21:8-
12,31,12,-5.71957,524288,-5.71957,524288,X15:16-X21:256-
13,33,13,-5.71957,524288,-5.71957,524288,X19:256-X21:1-
14,36,14,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:8-
15,38,15,-5.71957,524288,-5.71957,524288,X19:2-X21:64-
16,41,16,-5.71957,524288,-5.71957,524288,X19:4-X21:8-
17,44,17,-5.71957,524288,-5.71957,524288,X19:2-X21:16-
18,46,18,-5.71957,524288,-5.71957,524288,X21:2-
19,49,19,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:8-
20,51,20,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:64-
21,54,21,-5.71957,524288,-5.71957,524288,X19:8-X21:8-
22,56,22,-5.71957,524288,-5.71957,524288,X15:8-X19:8-X21:8-
23,59,23,-5.71957,524288,-5.71957,524288,X19:16-X21:4-
24,62,24,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:4-
25,64,25,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:64-
26,67,26,-5.71957,524288,-5.71957,524288,X21:128-
27,69,27,-5.71957,524288,-5.71957,524288,X19:16-X21:1-
28,72,28,-5.71957,524288,-5.71957,524288,X15:256-X19:8-X21:8-
29,74,29,-5.71957,524288,-5.71957,524288,X19:1-X21:32-
30,77,30,-5.71957,524288,-5.71957,524288,X19:8-X21:2-
31,79,31,-5.71957,524288,-5.71957,524288,X15:128-X19:8-X21:32-
32,81,32,-5.71957,524288,-5.71957,524288,X15:64-X19:4-X21:8-
33,84,33,-5.71957,524288,-5.71957,524288,X15:8-X19:1-X21:8-
34,86,34,-5.71957,524288,-5.71957,524288,X19:1-X21:2-
35,89,35,-5.71957,524288,-5.71957,524288,X15:2-X19:16-X21:4-
36,92,36,-5.71957,524288,-5.71957,524288,X19:8-X21:4-
37,94,37,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:32-
38,97,38,-5.71957,524288,-5.71957,524288,X19:2-X21:8-
39,99,39,-5.71957,524288,-5.71957,524288,X19:128-X21:1-
40,102,40,-5.71957,524288,-5.71957,524288,X19:2-X21:2-
41,104,41,-5.71957,524288,-5.71957,524288,X15:64-X19:128-X21:1-
42,107,42,-5.71957,524288,-5.71957,524288,X15:64-X19:8-X21:2-
43,109,43,-5.71957,524288,-5.71957,524288,X15:256-X19:8-X21:4-
44,112,44,-5.71957,524288,-5.71957,524288,X19:2-X21:128-
45,114,45,-5.71957,524288,-5.71957,524288,X19:8-X21:16-
46,117,46,-5.71957,524288,-5.71957,524288,X19:4-X21:4-
47,119,47,-5.71957,524288,-5.71957,524288,X13:16-X15:8-X19:1-X21:8-
48,122,48,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:2-
49,124,49,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:32-
50,127,50,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:16-
51,129,51,-5.71957,524288,-5.71957,524288,X19:64-X21:4-
52,132,52,-5.71957,524288,-5.71957,524288,X19:1-X21:128-
53,134,53,-5.71957,524288,-5.71957,524288,X15:64-X19:64-X21:4-
54,137,54,-5.71957,524288,-5.71957,524288,X19:2-X21:1-
55,139,55,-5.71957,524288,-5.71957,524288,X15:128-X21:256-
56,141,56,-5.71957,524288,-5.71957,524288,X15:256-X21:256-
57,143,57,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:128-
58,146,58,-5.71957,524288,-5.71957,524288,X13:16-X15:2-X19:2-X21:64-
59,148,59,-5.71957,524288,-5.71957,524288,X19:16-X21:16-
60,151,60,-5.71957,524288,-5.71957,524288,X19:64-X21:2-
61,153,61,-5.71957,524288,-5.71957,524288,X15:64-X19:2-X21:128-
62,156,62,-5.71957,524288,-5.71957,524288,X15:32-X19:16-X21:1-
63,158,63,-5.71957,524288,-5.71957,524288,X15:4-X19:8-X21:32-
64,161,64,-5.71957,524288,-5.71957,524288,X15:128-X19:64-X21:4-
65,163,65,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:8-
66,166,66,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X19:1-X21:64-
67,168,67,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X19:1-X21:8-
68,170,68,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:128-
69,172,69,-5.71957,524288,-5.71957,524288,X15:32-X19:256-X21:1-
70,175,70,-5.71957,524288,-5.71957,524288,X19:64-X21:1-
71,177,71,-5.71957,524288,-5.71957,524288,X13:1-X15:16-X21:256-
72,180,72,-5.71957,524288,-5.71957,524288,X19:32-X21:2-
73,182,73,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:64-
74,185,74,-5.71957,524288,-5.71957,524288,X15:1-X19:2-X21:64-
75,187,75,-5.71957,524288,-5.71957,524288,X15:4-X21:256-
76,190,76,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:128-
77,192,77,-5.71957,524288,-5.71957,524288,X19:4-X21:64-
78,194,78,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:2-
79,197,79,-5.71957,524288,-5.71957,524288,X15:1-X21:256-
80,200,80,-5.71957,524288,-5.71957,524288,X15:1-X19:2-X21:1-
81,202,81,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:128-
82,205,82,-5.71957,524288,-5.71957,524288,X19:16-X21:8-
83,207,83,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:64-X21:4-
84,210,84,-5.71957,524288,-5.71957,524288,X15:32-X19:64-X21:1-
85,212,85,-5.71957,524288,-5.71957,524288,X19:8-X21:1-
86,215,86,-5.71957,524288,-5.71957,524288,X19:2-X21:32-
87,217,87,-5.71957,524288,-5.71957,524288,X19:1-X21:1-
88,220,88,-5.71957,524288,-5.71957,524288,X15:32-X19:32-X21:2-
89,222,89,-5.71957,524288,-5.71957,524288,X13:64-X15:1-X19:1-X21:2-
90,225,90,-5.71957,524288,-5.71957,524288,X19:1-X21:4-
91,227,91,-5.71957,524288,-5.71957,524288,X15:2-X19:64-X21:4-
92,230,92,-5.71957,524288,-5.71957,524288,X15:256-X19:64-X21:2-
93,232,93,-5.71957,524288,-5.71957,524288,X15:128-X19:32-X21:2-
94,235,94,-5.71957,524288,-5.71957,524288,X19:4-X21:32-
95,238,95,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:16-
96,240,96,-5.71957,524288,-5.71957,524288,X15:4-X19:16-X21:8-
97,243,97,-5.71957,524288,-5.71957,524288,X13:1-X15:64-X19:4-X21:8-
98,246,98,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:32-
99,249,99,-5.71957,524288,-5.71957,524288,X15:1-X19:4-X21:4-
100,251,100,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:64-
101,254,101,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:128-
102,256,102,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:2-X21:128-
103,258,103,-5.71957,524288,-5.71957,524288,X15:64-X19:64-X21:1-
104,261,104,-5.71957,524288,-5.71957,524288,X15:32-X19:4-X21:64-
105,263,105,-5.71957,524288,-5.71957,524288,X15:2-X19:8-X21:32-
106,266,106,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:32-
107,269,107,-5.71957,524288,-5.71957,524288,X15:2-X19:4-X21:32-
108,271,108,-5.71957,524288,-5.71957,524288,X13:2-X15:16-X21:256-
109,273,109,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:2-
110,276,110,-5.71957,524288,-5.71957,524288,X19:4-X21:16-
111,279,111,-5.71957,524288,-5.71957,524288,X19:32-X21:4-
