metric,value
Cycle,1048576
Energy,8.75017e+09
MainMemory::Write::G, 0
MainMemory::Update::G, 0
MainMemory::Write::H, 1.04858e+06
MainMemory::Fill::G, 0
MainMemory::Update::H, 1.04858e+06
MainMemory::Read::H, 1.04858e+06
MainMemory::Fill::E, 0
MainMemory::Update::E, 0
MainMemory::Read, 2.88358e+06
MainMemory::Fill::F, 0
MainMemory::Write::B, 131072
MainMemory::Energy, 2.25e+08
MainMemory::Update, 1.44179e+06
MainMemory::Update::D, 131072
MainMemory::Fill::H, 0
MainMemory::Fill::B, 0
MainMemory::Read::E, 131072
MainMemory::Update::B, 131072
MainMemory::Write::E, 0
MainMemory::Update::C, 0
MainMemory::CapUtil, 0.136533
MainMemory::Write, 1.44179e+06
MainMemory::SpatialUtil, 1
MainMemory::Write::C, 0
MainMemory::SlowDown, 1
MainMemory::Read::B, 131072
MainMemory::Accesses, 4.32538e+06
MainMemory::Write::D, 131072
MainMemory::Read::G, 1.04858e+06
MainMemory::Read::A, 131072
MainMemory::Update::A, 0
MainMemory::Fill, 0
MainMemory::Read::D, 131072
MainMemory::Fill::A, 0
MainMemory::Fill::D, 0
MainMemory::Read::C, 131072
MainMemory::Write::A, 0
MainMemory::Fill::C, 0
MainMemory::Read::F, 131072
MainMemory::Update::F, 131072
MainMemory::Write::F, 131072
GlobalBuffer::Write::G, 1.04858e+06
GlobalBuffer::Update::G, 0
GlobalBuffer::Write::H, 3.14573e+06
GlobalBuffer::Fill::G, 1.04858e+06
GlobalBuffer::Update::H, 2.09715e+06
GlobalBuffer::Read::H, 2.09715e+06
GlobalBuffer::Fill::E, 131072
GlobalBuffer::Update::E, 0
GlobalBuffer::Read, 3.98459e+07
GlobalBuffer::Fill::F, 131072
GlobalBuffer::Write::B, 1.17965e+06
GlobalBuffer::Energy, 1.03973e+09
GlobalBuffer::Update, 1.99229e+07
GlobalBuffer::Update::D, 8.38861e+06
GlobalBuffer::Fill::H, 1.04858e+06
GlobalBuffer::Fill::B, 131072
GlobalBuffer::Read::E, 8.38861e+06
GlobalBuffer::Update::B, 1.04858e+06
GlobalBuffer::Write::E, 131072
GlobalBuffer::Update::C, 0
GlobalBuffer::CapUtil, 0.9
GlobalBuffer::Write, 2.28065e+07
GlobalBuffer::SpatialUtil, 1
GlobalBuffer::Write::C, 131072
GlobalBuffer::SlowDown, 1
GlobalBuffer::Read::B, 1.04858e+06
GlobalBuffer::Accesses, 6.26524e+07
GlobalBuffer::Write::D, 8.51968e+06
GlobalBuffer::Read::G, 2.09715e+06
GlobalBuffer::Read::A, 1.04858e+06
GlobalBuffer::Update::A, 0
GlobalBuffer::Fill, 2.88358e+06
GlobalBuffer::Read::D, 8.38861e+06
GlobalBuffer::Fill::A, 131072
GlobalBuffer::Fill::D, 131072
GlobalBuffer::Read::C, 8.38861e+06
GlobalBuffer::Write::A, 131072
GlobalBuffer::Fill::C, 131072
GlobalBuffer::Read::F, 8.38861e+06
GlobalBuffer::Update::F, 8.38861e+06
GlobalBuffer::Write::F, 8.51968e+06
RegFile::Write::G, 8192
RegFile::Update::G, 0
RegFile::Write::H, 40960
RegFile::Fill::G, 8192
RegFile::Update::H, 32768
RegFile::Read::H, 32768
RegFile::Fill::E, 32768
RegFile::Update::E, 0
RegFile::Read, 3.47341e+06
RegFile::Fill::F, 32768
RegFile::Write::B, 135168
RegFile::Energy, 7.37429e+09
RegFile::Update, 1.7367e+06
RegFile::Update::D, 524288
RegFile::Fill::H, 8192
RegFile::Fill::B, 4096
RegFile::Read::E, 1.04858e+06
RegFile::Update::B, 131072
RegFile::Write::E, 32768
RegFile::Update::C, 0
RegFile::CapUtil, 0.005
RegFile::Write, 1.89235e+06
RegFile::SpatialUtil, 0.25
RegFile::Write::C, 32768
RegFile::SlowDown, 1
RegFile::Read::B, 131072
RegFile::Accesses, 3.43409e+08
RegFile::Write::D, 557056
RegFile::Read::G, 32768
RegFile::Read::A, 131072
RegFile::Update::A, 0
RegFile::Fill, 155648
RegFile::Read::D, 524288
RegFile::Fill::A, 4096
RegFile::Fill::D, 32768
RegFile::Read::C, 524288
RegFile::Write::A, 4096
RegFile::Fill::C, 32768
RegFile::Read::F, 1.04858e+06
RegFile::Update::F, 1.04858e+06
RegFile::Write::F, 1.08134e+06
OnlineSoftmax::Energy, 1.11149e+08
OnlineSoftmax::Flops, 1.11149e+08
MEM::RegFile,0.0025
MEM::RegFile,0.01
MEM::RegFile,0.02
MEM::RegFile,0.000625
MEM::GlobalBuffer,0.9
MEM::MainMemory,0.136533
SPATIAL::GlobalBuffer,1
