metric,value
Cycle,1048576
Energy,1.42708e+10
MainMemory::Write::G, 0
MainMemory::Update::G, 0
MainMemory::Write::H, 1.04858e+06
MainMemory::Fill::G, 0
MainMemory::Update::H, 1.04858e+06
MainMemory::Read::H, 1.04858e+06
MainMemory::Fill::E, 0
MainMemory::Update::E, 0
MainMemory::Read, 2.88358e+06
MainMemory::Fill::F, 0
MainMemory::Write::B, 131072
MainMemory::Energy, 2.25e+08
MainMemory::Update, 1.44179e+06
MainMemory::Update::D, 131072
MainMemory::Fill::H, 0
MainMemory::Fill::B, 0
MainMemory::Read::E, 131072
MainMemory::Update::B, 131072
MainMemory::Write::E, 0
MainMemory::Update::C, 0
MainMemory::CapUtil, 0.136533
MainMemory::Write, 1.44179e+06
MainMemory::SpatialUtil, 1
MainMemory::Write::C, 0
MainMemory::SlowDown, 1
MainMemory::Read::B, 131072
MainMemory::Accesses, 4.32538e+06
MainMemory::Write::D, 131072
MainMemory::Read::G, 1.04858e+06
MainMemory::Read::A, 131072
MainMemory::Update::A, 0
MainMemory::Fill, 0
MainMemory::Read::D, 131072
MainMemory::Fill::A, 0
MainMemory::Fill::D, 0
MainMemory::Read::C, 131072
MainMemory::Write::A, 0
MainMemory::Fill::C, 0
MainMemory::Read::F, 131072
MainMemory::Update::F, 131072
MainMemory::Write::F, 131072
GlobalBuffer::Write::G, 1.04858e+06
GlobalBuffer::Update::G, 0
GlobalBuffer::Write::H, 3.14573e+06
GlobalBuffer::Fill::G, 1.04858e+06
GlobalBuffer::Update::H, 2.09715e+06
GlobalBuffer::Read::H, 2.09715e+06
GlobalBuffer::Fill::E, 131072
GlobalBuffer::Update::E, 0
GlobalBuffer::Read, 2.22298e+08
GlobalBuffer::Fill::F, 131072
GlobalBuffer::Write::B, 8.51968e+06
GlobalBuffer::Energy, 5.57409e+09
GlobalBuffer::Update, 1.11149e+08
GlobalBuffer::Update::D, 3.35544e+07
GlobalBuffer::Fill::H, 1.04858e+06
GlobalBuffer::Fill::B, 131072
GlobalBuffer::Read::E, 6.71089e+07
GlobalBuffer::Update::B, 8.38861e+06
GlobalBuffer::Write::E, 131072
GlobalBuffer::Update::C, 0
GlobalBuffer::CapUtil, 0.9
GlobalBuffer::Write, 1.14033e+08
GlobalBuffer::SpatialUtil, 1
GlobalBuffer::Write::C, 131072
GlobalBuffer::SlowDown, 1
GlobalBuffer::Read::B, 8.38861e+06
GlobalBuffer::Accesses, 3.36331e+08
GlobalBuffer::Write::D, 3.36855e+07
GlobalBuffer::Read::G, 2.09715e+06
GlobalBuffer::Read::A, 8.38861e+06
GlobalBuffer::Update::A, 0
GlobalBuffer::Fill, 2.88358e+06
GlobalBuffer::Read::D, 3.35544e+07
GlobalBuffer::Fill::A, 131072
GlobalBuffer::Fill::D, 131072
GlobalBuffer::Read::C, 3.35544e+07
GlobalBuffer::Write::A, 131072
GlobalBuffer::Fill::C, 131072
GlobalBuffer::Read::F, 6.71089e+07
GlobalBuffer::Update::F, 6.71089e+07
GlobalBuffer::Write::F, 6.72399e+07
RegFile::Write::G, 8192
RegFile::Update::G, 0
RegFile::Write::H, 40960
RegFile::Fill::G, 8192
RegFile::Update::H, 32768
RegFile::Read::H, 32768
RegFile::Fill::E, 262144
RegFile::Update::E, 0
RegFile::Read, 3.47341e+06
RegFile::Fill::F, 262144
RegFile::Write::B, 163840
RegFile::Energy, 8.36055e+09
RegFile::Update, 1.7367e+06
RegFile::Update::D, 524288
RegFile::Fill::H, 8192
RegFile::Fill::B, 32768
RegFile::Read::E, 1.04858e+06
RegFile::Update::B, 131072
RegFile::Write::E, 262144
RegFile::Update::C, 0
RegFile::CapUtil, 0.005
RegFile::Write, 2.60506e+06
RegFile::SpatialUtil, 0.25
RegFile::Write::C, 131072
RegFile::SlowDown, 1
RegFile::Read::B, 131072
RegFile::Accesses, 3.89022e+08
RegFile::Write::D, 655360
RegFile::Read::G, 32768
RegFile::Read::A, 131072
RegFile::Update::A, 0
RegFile::Fill, 868352
RegFile::Read::D, 524288
RegFile::Fill::A, 32768
RegFile::Fill::D, 131072
RegFile::Read::C, 524288
RegFile::Write::A, 32768
RegFile::Fill::C, 131072
RegFile::Read::F, 1.04858e+06
RegFile::Update::F, 1.04858e+06
RegFile::Write::F, 1.31072e+06
OnlineSoftmax::Energy, 1.11149e+08
OnlineSoftmax::Flops, 1.11149e+08
MEM::RegFile,0.0025
MEM::RegFile,0.01
MEM::RegFile,0.02
MEM::RegFile,0.000625
MEM::GlobalBuffer,0.9
MEM::MainMemory,0.136533
SPATIAL::GlobalBuffer,1
