metric,value
Cycle,0
Energy,1.65174e+24
MainMemory::Write::G, 0
MainMemory::Update::G, 0
MainMemory::Write::H, 0
MainMemory::Fill::G, 0
MainMemory::Update::H, 0
MainMemory::Read::H, 0
MainMemory::Fill::E, 0
MainMemory::Update::E, 0
MainMemory::Read, 6.89882e+10
MainMemory::Fill::F, 0
MainMemory::Write::B, 131072
MainMemory::Energy, 5.17412e+12
MainMemory::Update, 3.44941e+10
MainMemory::Update::D, 1.34218e+08
MainMemory::Fill::H, 0
MainMemory::Fill::B, 0
MainMemory::Read::E, 3.43597e+10
MainMemory::Update::B, 131072
MainMemory::Write::E, 0
MainMemory::Update::C, 0
MainMemory::CapUtil, 0.136533
MainMemory::Write, 3.44941e+10
MainMemory::SpatialUtil, 1
MainMemory::Write::C, 0
MainMemory::SlowDown, 0
MainMemory::Read::B, 131072
MainMemory::Accesses, 1.03482e+11
MainMemory::Write::D, 1.34218e+08
MainMemory::Read::G, 0
MainMemory::Read::A, 131072
MainMemory::Update::A, 0
MainMemory::Fill, 0
MainMemory::Read::D, 1.34218e+08
MainMemory::Fill::A, 0
MainMemory::Fill::D, 0
MainMemory::Read::C, 1.34218e+08
MainMemory::Write::A, 0
MainMemory::Fill::C, 0
MainMemory::Read::F, 3.43597e+10
MainMemory::Update::F, 3.43597e+10
MainMemory::Write::F, 3.43597e+10
GlobalBuffer::Write::G, 1.84467e+19
GlobalBuffer::Update::G, 0
GlobalBuffer::Write::H, 1.84467e+19
GlobalBuffer::Fill::G, 1.84467e+19
GlobalBuffer::Update::H, 5.49756e+11
GlobalBuffer::Read::H, 5.49756e+11
GlobalBuffer::Fill::E, 3.43597e+10
GlobalBuffer::Update::E, 0
GlobalBuffer::Read, 7.3787e+19
GlobalBuffer::Fill::F, 3.43597e+10
GlobalBuffer::Write::B, 1.84467e+19
GlobalBuffer::Energy, 2.44498e+21
GlobalBuffer::Update, 3.68935e+19
GlobalBuffer::Update::D, 1.84467e+19
GlobalBuffer::Fill::H, 1.84467e+19
GlobalBuffer::Fill::B, 131072
GlobalBuffer::Read::E, 4.29497e+09
GlobalBuffer::Update::B, 1.84467e+19
GlobalBuffer::Write::E, 3.43597e+10
GlobalBuffer::Update::C, 0
GlobalBuffer::CapUtil, 0.00371094
GlobalBuffer::Write, 7.3787e+19
GlobalBuffer::SpatialUtil, 1
GlobalBuffer::Write::C, 1.34218e+08
GlobalBuffer::SlowDown, inf
GlobalBuffer::Read::B, 1.84467e+19
GlobalBuffer::Accesses, 3.68935e+19
GlobalBuffer::Write::D, 1.84467e+19
GlobalBuffer::Read::G, 5.49756e+11
GlobalBuffer::Read::A, 1.84467e+19
GlobalBuffer::Update::A, 0
GlobalBuffer::Fill, 3.68935e+19
GlobalBuffer::Read::D, 1.84467e+19
GlobalBuffer::Fill::A, 131072
GlobalBuffer::Fill::D, 1.34218e+08
GlobalBuffer::Read::C, 1.84467e+19
GlobalBuffer::Write::A, 131072
GlobalBuffer::Fill::C, 1.34218e+08
GlobalBuffer::Read::F, 4.29497e+09
GlobalBuffer::Update::F, 4.29497e+09
GlobalBuffer::Write::F, 3.86547e+10
RegFile::Write::G, 7.3787e+19
RegFile::Update::G, 0
RegFile::Write::H, 2.21361e+20
RegFile::Fill::G, 7.3787e+19
RegFile::Update::H, 1.47574e+20
RegFile::Read::H, 1.47574e+20
RegFile::Fill::E, 1.72938e+18
RegFile::Update::E, 0
RegFile::Read, 1.18059e+21
RegFile::Fill::F, 1.72938e+18
RegFile::Write::B, 1.4779e+20
RegFile::Energy, 1.64871e+24
RegFile::Update, 5.90296e+20
RegFile::Update::D, 1.47574e+20
RegFile::Fill::H, 7.3787e+19
RegFile::Fill::B, 2.16173e+17
RegFile::Read::E, 1.47574e+20
RegFile::Update::B, 1.47574e+20
RegFile::Write::E, 1.72938e+18
RegFile::Update::C, 0
RegFile::CapUtil, 4.88281e-06
RegFile::Write, 7.42481e+20
RegFile::SpatialUtil, 0.5
RegFile::Write::C, 3.60288e+17
RegFile::SlowDown, 1
RegFile::Read::B, 1.47574e+20
RegFile::Accesses, 1.62562e+20
RegFile::Write::D, 1.47934e+20
RegFile::Read::G, 1.47574e+20
RegFile::Read::A, 1.47574e+20
RegFile::Update::A, 0
RegFile::Fill, 1.52186e+20
RegFile::Read::D, 1.47574e+20
RegFile::Fill::A, 2.16173e+17
RegFile::Fill::D, 3.60288e+17
RegFile::Read::C, 1.47574e+20
RegFile::Write::A, 2.16173e+17
RegFile::Fill::C, 3.60288e+17
RegFile::Read::F, 1.47574e+20
RegFile::Update::F, 1.47574e+20
RegFile::Write::F, 1.49303e+20
OnlineSoftmax::Energy, 5.90296e+20
OnlineSoftmax::Flops, 5.90296e+20
MEM::RegFile,9.76563e-06
MEM::RegFile,9.76563e-06
MEM::RegFile,9.76563e-06
MEM::RegFile,9.76563e-06
MEM::GlobalBuffer,0.000408936
MEM::GlobalBuffer,0.00371094
MEM::MainMemory,0.136533
SPATIAL::GlobalBuffer,0.5
