index,time,iter,reward,value,best_reward,best_value,node
0,37,0,-7.74324,5.53658e+07,-7.74324,5.53658e+07,X29:64-
1,77,1,inf,0,inf,0,X29:1-
2,112,2,-7.35919,2.28659e+07,inf,0,X5:2-X29:64-
3,151,3,-7.98029,9.5563e+07,inf,0,X29:16-
4,198,4,-8.08967,1.22933e+08,inf,0,X11:128-X29:1-
5,235,5,-8.0738,1.18522e+08,inf,0,X29:32-
6,276,6,-7.43156,2.7012e+07,inf,0,X5:4-X29:16-
7,315,7,inf,0,inf,0,X29:128-
8,356,8,-8.03184,1.07608e+08,inf,0,X5:1-X29:64-
9,397,9,-8.00319,1.00736e+08,inf,0,X29:8-
10,452,10,inf,0,inf,0,X11:2-X29:1-
11,500,11,-7.04922,1.12001e+07,inf,0,X5:2-X29:8-
12,536,12,-7.9107,8.14142e+07,inf,0,X5:2-X29:128-
13,566,13,-7.01397,1.03269e+07,inf,0,X5:16-X29:16-
14,597,14,-7.82289,6.65101e+07,inf,0,X13:2-X5:1-X29:64-
