index,time,iter,reward,value,best_reward,best_value,node
0,2,0,-5.71957,524288,-5.71957,524288,X21:64-
1,5,1,-5.71957,524288,-5.71957,524288,X21:4-
2,7,2,-5.71957,524288,-5.71957,524288,X21:1-
3,9,3,-5.71957,524288,-5.71957,524288,X19:1-X21:64-
4,12,4,-5.71957,524288,-5.71957,524288,X21:8-
5,14,5,-5.71957,524288,-5.71957,524288,X21:32-
6,17,6,-5.71957,524288,-5.71957,524288,X21:16-
7,20,7,-5.71957,524288,-5.71957,524288,X19:2-X21:4-
8,22,8,-5.71957,524288,-5.71957,524288,X19:1-X21:16-
9,24,9,-5.71957,524288,-5.71957,524288,X19:8-X21:32-
10,26,10,-5.71957,524288,-5.71957,524288,X21:256-
11,29,11,-5.71957,524288,-5.71957,524288,X19:1-X21:8-
12,31,12,-5.71957,524288,-5.71957,524288,X15:16-X21:256-
13,33,13,-5.71957,524288,-5.71957,524288,X19:256-X21:1-
14,35,14,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:8-
15,38,15,-5.71957,524288,-5.71957,524288,X19:2-X21:64-
16,41,16,-5.71957,524288,-5.71957,524288,X19:4-X21:8-
17,43,17,-5.71957,524288,-5.71957,524288,X19:2-X21:16-
18,46,18,-5.71957,524288,-5.71957,524288,X21:2-
19,48,19,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:8-
20,50,20,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:64-
21,53,21,-5.71957,524288,-5.71957,524288,X19:8-X21:8-
22,56,22,-5.71957,524288,-5.71957,524288,X15:8-X19:8-X21:8-
23,58,23,-5.71957,524288,-5.71957,524288,X19:16-X21:4-
24,61,24,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:4-
25,63,25,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:64-
26,66,26,-5.71957,524288,-5.71957,524288,X21:128-
27,68,27,-5.71957,524288,-5.71957,524288,X19:16-X21:1-
28,71,28,-5.71957,524288,-5.71957,524288,X15:256-X19:8-X21:8-
29,73,29,-5.71957,524288,-5.71957,524288,X19:1-X21:32-
30,76,30,-5.71957,524288,-5.71957,524288,X19:8-X21:2-
31,78,31,-5.71957,524288,-5.71957,524288,X15:128-X19:8-X21:32-
32,80,32,-5.71957,524288,-5.71957,524288,X15:64-X19:4-X21:8-
33,83,33,-5.71957,524288,-5.71957,524288,X15:8-X19:1-X21:8-
34,85,34,-5.71957,524288,-5.71957,524288,X19:1-X21:2-
35,88,35,-5.71957,524288,-5.71957,524288,X15:2-X19:16-X21:4-
36,90,36,-5.71957,524288,-5.71957,524288,X19:8-X21:4-
37,93,37,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:32-
38,95,38,-5.71957,524288,-5.71957,524288,X19:2-X21:8-
39,98,39,-5.71957,524288,-5.71957,524288,X19:128-X21:1-
40,101,40,-5.71957,524288,-5.71957,524288,X19:2-X21:2-
41,103,41,-5.71957,524288,-5.71957,524288,X15:64-X19:128-X21:1-
42,106,42,-5.71957,524288,-5.71957,524288,X15:64-X19:8-X21:2-
43,108,43,-5.71957,524288,-5.71957,524288,X15:256-X19:8-X21:4-
44,110,44,-5.71957,524288,-5.71957,524288,X19:2-X21:128-
45,113,45,-5.71957,524288,-5.71957,524288,X19:8-X21:16-
46,116,46,-5.71957,524288,-5.71957,524288,X19:4-X21:4-
47,118,47,-5.71957,524288,-5.71957,524288,X13:16-X15:8-X19:1-X21:8-
48,121,48,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:2-
49,123,49,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:32-
50,126,50,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:16-
51,128,51,-5.71957,524288,-5.71957,524288,X19:64-X21:4-
52,130,52,-5.71957,524288,-5.71957,524288,X19:1-X21:128-
53,133,53,-5.71957,524288,-5.71957,524288,X15:64-X19:64-X21:4-
54,135,54,-5.71957,524288,-5.71957,524288,X19:2-X21:1-
55,137,55,-5.71957,524288,-5.71957,524288,X15:128-X21:256-
56,139,56,-5.71957,524288,-5.71957,524288,X15:256-X21:256-
57,142,57,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:128-
58,144,58,-5.71957,524288,-5.71957,524288,X13:16-X15:2-X19:2-X21:64-
59,147,59,-5.71957,524288,-5.71957,524288,X19:16-X21:16-
60,149,60,-5.71957,524288,-5.71957,524288,X19:64-X21:2-
61,152,61,-5.71957,524288,-5.71957,524288,X15:64-X19:2-X21:128-
62,154,62,-5.71957,524288,-5.71957,524288,X15:32-X19:16-X21:1-
63,157,63,-5.71957,524288,-5.71957,524288,X15:4-X19:8-X21:32-
64,159,64,-5.71957,524288,-5.71957,524288,X15:128-X19:64-X21:4-
65,161,65,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:8-
66,164,66,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X19:1-X21:64-
67,166,67,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X19:1-X21:8-
68,168,68,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:128-
69,171,69,-5.71957,524288,-5.71957,524288,X15:32-X19:256-X21:1-
70,173,70,-5.71957,524288,-5.71957,524288,X19:64-X21:1-
71,176,71,-5.71957,524288,-5.71957,524288,X13:1-X15:16-X21:256-
72,178,72,-5.71957,524288,-5.71957,524288,X19:32-X21:2-
73,181,73,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:64-
74,184,74,-5.71957,524288,-5.71957,524288,X15:1-X19:2-X21:64-
75,186,75,-5.71957,524288,-5.71957,524288,X15:4-X21:256-
76,188,76,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:128-
77,191,77,-5.71957,524288,-5.71957,524288,X19:4-X21:64-
78,193,78,-5.71957,524288,-5.71957,524288,X15:1-X19:1-X21:2-
79,195,79,-5.71957,524288,-5.71957,524288,X15:1-X21:256-
80,198,80,-5.71957,524288,-5.71957,524288,X15:1-X19:2-X21:1-
81,200,81,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:128-
82,203,82,-5.71957,524288,-5.71957,524288,X19:16-X21:8-
83,205,83,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:64-X21:4-
84,208,84,-5.71957,524288,-5.71957,524288,X15:32-X19:64-X21:1-
85,210,85,-5.71957,524288,-5.71957,524288,X19:8-X21:1-
86,213,86,-5.71957,524288,-5.71957,524288,X19:2-X21:32-
87,215,87,-5.71957,524288,-5.71957,524288,X19:1-X21:1-
88,218,88,-5.71957,524288,-5.71957,524288,X15:32-X19:32-X21:2-
89,221,89,-5.71957,524288,-5.71957,524288,X13:64-X15:1-X19:1-X21:2-
90,223,90,-5.71957,524288,-5.71957,524288,X19:1-X21:4-
91,225,91,-5.71957,524288,-5.71957,524288,X15:2-X19:64-X21:4-
92,228,92,-5.71957,524288,-5.71957,524288,X15:256-X19:64-X21:2-
93,230,93,-5.71957,524288,-5.71957,524288,X15:128-X19:32-X21:2-
94,233,94,-5.71957,524288,-5.71957,524288,X19:4-X21:32-
95,235,95,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:16-
96,238,96,-5.71957,524288,-5.71957,524288,X15:4-X19:16-X21:8-
97,240,97,-5.71957,524288,-5.71957,524288,X13:1-X15:64-X19:4-X21:8-
98,243,98,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:32-
99,246,99,-5.71957,524288,-5.71957,524288,X15:1-X19:4-X21:4-
100,248,100,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:64-
101,250,101,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:128-
102,253,102,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:2-X21:128-
103,255,103,-5.71957,524288,-5.71957,524288,X15:64-X19:64-X21:1-
104,257,104,-5.71957,524288,-5.71957,524288,X15:32-X19:4-X21:64-
105,260,105,-5.71957,524288,-5.71957,524288,X15:2-X19:8-X21:32-
106,262,106,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:32-
107,265,107,-5.71957,524288,-5.71957,524288,X15:2-X19:4-X21:32-
108,267,108,-5.71957,524288,-5.71957,524288,X13:2-X15:16-X21:256-
109,270,109,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:2-
110,272,110,-5.71957,524288,-5.71957,524288,X19:4-X21:16-
111,275,111,-5.71957,524288,-5.71957,524288,X19:32-X21:4-
