index,time,iter,reward,value,best_reward,best_value,node
0,2,0,-5.40475,253952,-5.40475,253952,KM:2-
1,3,1,-5.17465,149504,-5.17465,149504,LM:16-KM:2-
2,6,2,-5.32837,212994,-5.17465,149504,KM:4-
3,7,3,-5.15018,141312,-5.15018,141312,MM:8-LM:16-KM:2-
4,10,4,-5.21443,163842,-5.15018,141312,KM:1-
5,11,5,-5.23562,172035,-5.15018,141312,LM:32-KM:2-
6,12,6,-5.45746,286722,-5.15018,141312,LM:1-KM:4-
7,14,7,-5.15643,143360,-5.15018,141312,LM:8-KM:1-
8,17,8,-5.23562,172035,-5.15018,141312,LM:1-KM:2-
9,18,9,-5.40475,253952,-5.15018,141312,LM:2-KM:2-
10,19,10,-5.19215,155649,-5.15018,141312,LM:16-KM:1-
11,20,11,-5.31133,204802,-5.15018,141312,LM:32-KM:1-
12,20,12,-5.19215,155649,-5.15018,141312,MM:4-LM:8-KM:1-
13,20,13,-5.15018,141312,-5.15018,141312,NI:64-MM:8-LM:16-KM:2-
14,22,14,-5.25581,180224,-5.15018,141312,LM:4-KM:2-
15,23,15,-5.15643,143360,-5.15018,141312,MM:8-LM:8-KM:1-
16,24,16,-5.19215,155650,-5.15018,141312,LM:4-KM:4-
17,25,17,-5.73947,548865,-5.15018,141312,MM:1-LM:2-KM:2-
18,26,18,-5.46969,294912,-5.15018,141312,MM:2-LM:16-KM:2-
19,27,19,-5.21442,163840,-5.15018,141312,MM:4-LM:16-KM:2-
20,27,20,-5.60359,401408,-5.15018,141312,NI:2-MM:4-LM:16-KM:2-
21,28,21,-5.75849,573440,-5.15018,141312,MM:1-LM:8-KM:1-
22,28,22,-5.17167,148480,-5.15018,141312,MM:8-LM:32-KM:1-
23,29,23,-5.14702,140288,-5.14702,140288,MM:8-LM:32-KM:2-
24,29,24,-5.77671,598017,-5.14702,140288,NI:2-MM:1-LM:8-KM:1-
25,32,25,-5.19214,155648,-5.14702,140288,LM:2-KM:1-
26,34,26,-5.32837,212994,-5.14702,140288,LM:4-KM:1-
27,35,27,-5.19215,155649,-5.14702,140288,MM:4-LM:16-KM:1-
28,36,28,-5.19215,155652,-5.14702,140288,MM:4-LM:4-KM:2-
29,37,29,-5.19215,155650,-5.14702,140288,MM:4-LM:32-KM:1-
30,37,30,-5.45746,286722,-5.14702,140288,MM:2-LM:2-KM:1-
31,37,31,-5.61236,409602,-5.14702,140288,NI:8-MM:2-LM:2-KM:1-
32,38,32,-5.23561,172033,-5.14702,140288,LM:1-KM:1-
33,40,33,-5.15018,141312,-5.14702,140288,LM:16-KM:4-
34,41,34,-5.16866,147456,-5.14702,140288,MM:8-LM:4-KM:4-
35,41,35,-5.19215,155650,-5.14702,140288,MM:4-LM:32-KM:2-
36,41,36,-5.21981,165888,-5.14702,140288,NI:16-MM:8-LM:16-KM:2-
37,42,37,-5.23562,172035,-5.14702,140288,LM:32-KM:4-
38,44,38,-5.25582,180225,-5.14702,140288,LM:8-KM:2-
39,45,39,-5.45746,286720,-5.14702,140288,MM:2-LM:16-KM:4-
40,46,40,-5.18057,151554,-5.14702,140288,MM:8-LM:8-KM:2-
41,46,41,-5.19215,155650,-5.14702,140288,NI:32-MM:4-LM:32-KM:1-
42,46,42,-5.31133,204802,-5.14702,140288,NI:8-MM:4-LM:32-KM:1-
43,47,43,-5.45746,286720,-5.14702,140288,MM:2-LM:8-KM:1-
44,48,44,-5.18056,151552,-5.14702,140288,LM:8-KM:4-
45,49,45,-5.21443,163843,-5.14702,140288,MM:4-LM:2-KM:2-
46,50,46,-5.19215,155649,-5.14702,140288,LM:2-KM:4-
47,51,47,-5.23562,172035,-5.14702,140288,MM:8-LM:1-KM:2-
48,51,48,-5.19215,155649,-5.14702,140288,MM:8-LM:2-KM:4-
49,51,49,-5.73946,548864,-5.14702,140288,MM:1-LM:4-KM:4-
50,52,50,-5.25582,180226,-5.14702,140288,MM:4-LM:1-KM:1-
51,52,51,-5.60359,401411,-5.14702,140288,NI:4-MM:8-LM:1-KM:2-
52,53,52,-5.45746,286720,-5.14702,140288,MM:2-LM:16-KM:1-
53,54,53,-5.25582,180226,-5.14702,140288,MM:4-LM:1-KM:2-
54,54,54,-5.19215,155651,-5.14702,140288,MM:4-LM:4-KM:1-
55,55,55,-5.45746,286721,-5.14702,140288,MM:2-LM:32-KM:4-
56,56,56,-5.73946,548864,-5.14702,140288,MM:1-LM:8-KM:2-
57,56,57,-5.45746,286720,-5.14702,140288,MM:2-LM:4-KM:1-
58,57,58,-5.21443,163842,-5.14702,140288,MM:4-LM:2-KM:4-
59,57,59,-5.60359,401411,-5.14702,140288,NI:32-MM:8-LM:1-KM:2-
60,57,60,-5.73946,548864,-5.14702,140288,MM:1-LM:32-KM:1-
61,58,61,-5.19214,155648,-5.14702,140288,MM:8-LM:2-KM:1-
62,58,62,-5.17465,149504,-5.14702,140288,NI:32-MM:8-LM:16-KM:2-
63,58,63,-5.25582,180225,-5.14702,140288,NI:32-MM:4-LM:8-KM:1-
64,58,64,-5.23561,172033,-5.14702,140288,MM:8-LM:1-KM:4-
65,58,65,-5.73947,548866,-5.14702,140288,NI:32-MM:1-LM:32-KM:1-
66,59,66,-5.73947,548866,-5.14702,140288,MM:1-LM:2-KM:4-
67,59,67,-5.45746,286720,-5.14702,140288,MM:2-LM:8-KM:4-
68,60,68,-5.15643,143360,-5.14702,140288,MM:8-LM:8-KM:4-
69,61,69,-5.8272,671745,-5.14702,140288,MM:1-LM:2-KM:1-
